rbi,reserve bank of india
rbs,royal bank of scotland 
rdbms,relational database management system
rddbfi,recovery of debt due to banks and financial institutions
rec,rural electrification corporation
rfc,resident foreign currency
ridf,rural infrastructure development fund
roa,return on assets
roe,return on equity
rrb,regional rural bank 
rtgs,real time gross settlement system 
rwa,risk weighted assets
sarfaesi,securitization and reconstruction of financial assets and enforcement of security interest
sbi,state bank of india
scb,scheduled commercial bank
scc,selective credit control 
sdbs,service discharge benefit scheme
sdr,special drawing rights
sebi,securities and exchange board of india
sepa,single euro payment area 
sfms,structured financial messaging services
sgb,sovereign gold bond
shg,self help group
sidbi,small industries and development bank of india 
sidc,state industrial development corporation
sifi,systematically important financial intermediaries
sip,systematic investment plans
sips,systemically important payment system
sjsry,swarna jayanthi shahari rozgar yojana
slr,statutory reserve ratio
slrs,scheme for liberation and rehabilitation of scavengers
sme,small and medium industries
smera,sme rating agency of india limited
smile,sidbi make in india loan for small enterprises
spns,shared payment network system 
ssi,small scale industries
sssbe,small scale service and business enterprises
swift,society for world wide inter bank financial telecommunication 
tds,tax deducted at source
tin,tax information network
ubin,unique business identification number
ucb,urban cooperative bank 
ucns,uniform code numbers
ueba,universal electronic bank account 
uidai,unique identification authority of india
upi,unified payments interface
upin,unique property identification numbers 
usb,ultra small branch 
usd,united states dollar 
ussd,unstructured supplementary service data
uti,unit trust of india
vdbs,vertically differentiated banking system 
vpa,virtual payment address
wbcis,weather based crop insurance scheme 
wctl,working capital term loan
wlatm,white label atm 
wma,ways and means advances
wpi,wholesale price index
ytm,yield to maturity
